TAP_service,table_name,objects,description
VizieR,J/MNRAS/382/412/catalog,954,"Catalog of SDSS-DR5 spectroscopic quasars with 2MASS counterpart ( Ofek E.O., Oguri M., Jackson N., Inada N., Kayo I.)"
VizieR,J/A+A/561/A94/table3,952,"Radial velocity table of GES targets ( Donati P., Gaudin Cantat , Bragaglia A., et al.)"
VizieR,J/ApJ/883/175/table4,944,"The GOODVISITS table ( Yan R., Chen Y., Lazarz D., et al.)"
VizieR,J/MNRAS/470/95/macs0416,925,"MACS J0416-24 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/A+A/559/A14/f14wide,892,"Search in F14_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/ApJS/253/3/clusters,888,"Cluster catalog ( Hilton M., Sifon C., Naess S., et al.)"
VizieR,J/A+A/645/A74/xfcz,876,"The XMM-Newton spectral-fit Z catalogue ( Ruiz A., Georgantopoulos I., Corral A.)"
VizieR,J/ApJS/258/9/table1,868,"Catalogue of the stellar population parameters for ~43000 galaxies in LAMOST DR7. ( Wang L.-L., Shen S.-Y., Luo A.-L., Yang G.-J., Gai N., Tang Y.-K., Wang M.-X., Qin Li, Han J.-S., Rong L.-X.)"
VizieR,J/AJ/146/87/table3,850,"The catalog of results ( Dong X.Y., De Robertis M.M.)"
VizieR,J/A+A/654/A93/tablea1,842,"Properties derived for each of the 1212 sources with good XCIGALE fits ( Buat V., Mountrichas G., Yang G., Boquien M., Roehlly Y., Burgarella D., Stalevski M., Ciesla L., Theule P.)"
VizieR,J/A+A/531/A8/table4,838,"Stellar basic physical parameters, chromospheric indices, rotational velocities, radial velocities and kinematic UVW space velocities ( Jenkins J.S., Murgas F., Rojo P., Jones H.R.A., Day-Jones A.C., Jones M.I., Clarke J.R.A., Ruiz M.T., Pinfield D.J.)"
HEASARC,sdsss82xmm,836,Sloan Digital Sky Survey Stripe 82 XMM-Newton Source Match Catal
VizieR,J/MNRAS/413/3059/qsos,826,"Supplementary QSO sightline catalogue ( Geach J.E., Murphy D.N.A., Bower R.G.)"
