TAP_service,table_name,description
VizieR,J/ApJS/243/24/table7,"CASBaH redshift survey ( Prochaska J.X., Burchett J.N., Tripp T.M., Werk J.K., Willmer C.N.A., Howk J.C., Lange S., Tejos N., Meiring J.D., Tumlinson J., Lehner N., Ford A.B., Dave R.)"
VizieR,J/MNRAS/464/1306/table10,"Main LARGESS data table ( Ching J.H.Y., Sadler E.M., Croom S.M., Johnston H.M., Pracy M.B., Couch W.J., Hopkins A.M., Jurek R.J., Pimbblet K.A.)"
VizieR,J/A+A/488/417/catalog,"Multiband catalog ( Feruglio C., Fiore F., La Franca F., Sacchi N., Puccetti S., Comastri A., Berta S., Gruppioni C., Mathur S, Matute I., Mignoli M., Vignali C., Zamorani G.)"
VizieR,J/ApJS/238/9/table1,"List of giant radio sources (GRSs) ( Kuzmicz A., Jamrozy M., Bronarska K., Janda-Boczar K., Saikia D.J.)"
VizieR,J/ApJ/626/95/table1,"Figure-of-Merit-selected objects ( Sowards-Emmerd D., Romani R.W., Michelson P.F., Healey S.E., Nolan P.L.)"
VizieR,J/AJ/141/88/table6,"All extended sources with N^-19^_1.0_>=40 ( Wing J.D., Blanton E.L.)"
VizieR,J/ApJS/236/30/hatlas2ngp,"*Herschel-ATLAS Data Release 2 in the North Galactic Pole (NGP) ( Maddox S.J., Valiante E., Cigan P., Dunne L., Eales S., Smith M.W.L., Dye S., Furlanetto C., Ibar E., de Zotti G., Millard J.S., Bourne N., Gomez H.L., Ivison R.J., Scott D., Valtchanov I.)"
VizieR,J/ApJ/634/977/table2,"Cl 0024+1654 redshift catalog ( Moran S.M., Ellis R.S., Treu T., Smail I., Dressler A., Coil A.L., Smith G.P.)"
VizieR,J/ApJS/148/275/table1,"Candidates of optical counterparts and results of identifications ( Akiyama M., Ueda Y., Ohta K., Takahashi T., Yamada T.)"
VizieR,J/ApJ/663/218/MFA2007,"The WIYN/Hydra spectroscopic catalog  of 1.4GHz and 24{mu}m sources in the Spitzer First-Look Survey ( Marleau F.R., Fadda D., Appleton P.N., Noriega-crespo A., Im M., Clancy D.)"
VizieR,J/AJ/150/153/table3,"Redshift catalog ( Wirth G.D., Trump J.R., Barro G., Guo Y., Koo D.C., Liu F., Kassis M., Lyke J., Rizzi L., Campbell R., Goodrich R.W., Faber S.M.)"
VizieR,J/ApJS/219/39/master,"*Master quasar catalog (table 1) ( Richards G.T., Myers A.D., Peters C.M., Krawczyk C.M., Chase G., Ross N.P., Fan X., Jiang L., Lacy M., McGreer I.D., Trump J.R., Riegel R.N.)"
VizieR,J/AJ/151/142/table1,"List of Sources Observed by VERITAS ( Archambault S., Archer A., Benbow W., et al.)"
VizieR,J/MNRAS/475/2067/tablea1,"Galaxy survey data in QSO/cluster fields ( Burchett J.N., Tripp T.M., Wang Q.D., Willmer C.N.A., Bowen D.V., Jenkins E.B.)"
VizieR,J/AJ/151/142/table2,"List of Known VHE Sources Observed but Not Detected by VERITAS in 2007-2012 ( Archambault S., Archer A., Benbow W., et al.)"
VizieR,J/ApJ/872/192/table1,"Physical properties of the spectroscopic members of A2029 ( Sohn J., Geller M.J., Zahid H.J., Fabricant D.G.)"
VizieR,J/ApJS/200/9/acs-gc,"The ACS-GC catalog (V1.0) ( Griffith R.L., Cooper M.C., Newman J.A., et al.)"
VizieR,J/AJ/151/33/table1,"Type II supernovae ( Galbany L., Hamuy M., Phillips M.M., et al.)"
VizieR,J/MNRAS/329/877/table2,"Identified CLASS sources ( Caccianiga A., Marcha M.J., Anton S., Mack K.-H., Neeser M.J.)"
VizieR,J/ApJ/866/44/table4,"WISE/DEIMOS Redshift Catalog DR2; from erratum published in 2022, ApJ, 927, 240 ( Lake S.E., Wright E.L., Assef R.J., Jarrett T.H., Petty S., Stanford S.A., Stern D., Tsai C.-W.)"
VizieR,J/AJ/119/2540/table4,"Other spectroscopic identifications ( Grazian A., Cristiani S., D'Odorico V., Omizzolo A., Pizzella A.)"
VizieR,J/ApJ/707/1779/table2,"Spectroscopic redshifts for the BLAST counterparts ( Eales S., Chapin E.L., Devlin M.J., Dye S., Halpern M., Hughes D.H., Marsden G., Mauskopf P., Moncelsi L., Netterfield C.B., Pascale E., Patanchon G., Raymond G., Rex M., Scott D., Semisch C., Siana B., Truch M.D.P., Viero M.P.)"
VizieR,J/MNRAS/308/233/table2,"Table of X-ray data for the RIXOS sample ( Mittaz J.P.D., Carrera F.J., Romero-Colmenero E., Mason K.O., Hasinger G., McMahon R., Andernach H., Bower R., Burgos-Martin J., Gonzalez-serrano J.I., Wonnacott D.)"
VizieR,J/ApJ/696/1195/table2,"COSMOS XMM optical spectroscopy catalog ( Trump J.R., Impey C.D., Elvis M., et al.)"
VizieR,J/ApJ/902/48/table1,"Properties of the 65 SNe Ia in our sample ( Bulla M., Miller A.A., Yao Y., et al.)"
VizieR,J/ApJS/265/37/sample,"Basic information of our (Table 1), best-fitting parameters of the UV-to-IR SED decomposition (Table A1), host galaxies properties and WISE color (Table A2) and radio fitting results (Table A3) ( Yamada S., Ueda Y., Herrera-Endoqui M., Toba Y., Miyaji T., Ogawa S., Uematsu R., Tanimoto A., Imanishi M., Ricci C.)"
VizieR,J/MNRAS/458/3083/table1,"Details of the objects observed with the AAOmega ( Shakouri S., Johnston-Hollitt M., Dehghan S.)"
VizieR,J/A+A/463/97/table4,"Master list of GHz-peaked sources ( Labiano A., Barthel P.D., O'dea C.P., De Vries W.H., Perez I., Baum S.A.)"
VizieR,J/AJ/129/2542/table5,"Potential radio-weak BL Lac candidates ( Collinge M.J., Strauss M.A., Hall P.B., Ivezic Z., Munn J.A., Schlegel D.J., Zakamska N.L., Anderson S.F., Harris H.C., Richards G.T., Schneider D.P., Voges W., York D.G., Margon B., Brinkmann J.)"
VizieR,J/AJ/129/2542/proBL,"Probable BL Lac candidates ( Collinge M.J., Strauss M.A., Hall P.B., Ivezic Z., Munn J.A., Schlegel D.J., Zakamska N.L., Anderson S.F., Harris H.C., Richards G.T., Schneider D.P., Voges W., York D.G., Margon B., Brinkmann J.)"
VizieR,J/AJ/129/2542/posBL,"Possible BL Lac candidates ( Collinge M.J., Strauss M.A., Hall P.B., Ivezic Z., Munn J.A., Schlegel D.J., Zakamska N.L., Anderson S.F., Harris H.C., Richards G.T., Schneider D.P., Voges W., York D.G., Margon B., Brinkmann J.)"
VizieR,J/AJ/146/10/table1,"Observed emission lines ( Titov O., Stanford L.M., Johnston H.M., Pursimo T., Hunstead R.W., Jauncey D.L., Maslennikov K., Boldycheva A.)"
VizieR,J/ApJS/267/37/table5,"Source and host information ( Gordon Y.A., Rudnick L., Andernach H., Morabito L.K., O'Dea C.P., Achong K.-M., Baum S.A., Bayona-Figueroa C., Hooper E.J., Mingo B., Morris M.E., Vantyghem A.N.)"
VizieR,J/ApJS/268/17/cgc,"The Chandra X-ray Galaxy Catalog (CGC) ( Kim D.-W., Cassity A., Bhatt B., Fabbiano G., Martinez Galarza J.R., O'Sullivan E., Rots A.)"
VizieR,J/A+A/635/A5/tablea1,"All of the 239 GRGs found from the LoTSS ( Dabhade P., Roettgering H.J.A., Bagchi J ., Shimwell T.W., Hardcastle M.J., Sankhyayan S., Morganti R., Jamrozy M., Shulevski A., Duncan K.J.)"
VizieR,J/ApJS/226/19/table3,"active, starburst, and dwarf galaxies observed with the Herschel/PACS spectrometer ( Fernandez-Ontiveros J.A., Spinoglio L., Pereira-Santaella M., Malkan M.A., Andreani P., Dasyra K.M.)"
VizieR,J/ApJ/889/80/vla,"Derived properties of VLA 3-GHz identified 450-um sources (Table 2) and multi-wavelength photometry (Table 4) ( Lim C.-F., Wang W.-H., Smail I., et al.)"
VizieR,J/ApJ/889/80/mips,"Derived properties of MIPS 24-um identified 450-um sources (Table 3) and multi-wavelength photometry (Table 5) ( Lim C.-F., Wang W.-H., Smail I., et al.)"
