TAP_service,table_name,objects,description
VizieR,J/MNRAS/480/707/s82cat,875,"S82 cross-matched catalogue ( Prescott M., Whittam I. H., Jarvis M. J., McAlpine K., Richter L. L., Fine S., Mauch T., Heywood I., Vaccari M.)"
VizieR,J/MNRAS/415/2336/hatlas,866,"Spire catalogue ( Rigby E.E., Maddox S.J., Dunne L., et al.)"
HEASARC,spidersros,853,SDSS-IV/SPIDERS ROSAT-Based X-Ray Point Source Spectroscopic Cat
VizieR,J/AJ/105/1637/catalog,847,"Radial velocities } ( Huchra J., Latham D.W., Nicolaci da Costa L., Pellegrini P.S., Willmer C.N.A.)"
VizieR,J/A+A/654/A80/tablec1,825,"Catalog of UV emission line sources collected from the literature provided with the paper ( Schmidt K.B., Kerutt J., Wisotzki L., et al.)"
VizieR,J/MNRAS/348/866/2dfsgpgr,810,"Group properties in the SGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
VizieR,J/MNRAS/443/1999/cosmos,810,"Data for Chandra COSMOS ( Brightman M., Nandra K., Salvato M. Hsu L.-T., Aird J., Rangel C.)"
VizieR,J/ApJ/783/52/table1,804,"Redshifts in the field of A383 ( Geller M.J., Hwang H.S., Diaferio A., Kurtz M.J., Coe D., Rines K.J.)"
VizieR,J/ApJS/219/8/gal,802,"SDSS and WISE galaxies catalog ( Chang Y.-Y., van der Wel A., da Cunha E., Rix H.-W.)"
VizieR,J/A+A/566/A1/galaxies,800,"Table of galaxies (m_r_<=17.77, z<=0.2) ( Tempel E., Tamm A., Gramann M., Tuvikene T., Liivamagi L. J., Suhhonenko I., Kipper R., Einasto M., Saar E.)"
VizieR,J/ApJ/841/111/table3,786,"Keck spectroscopic results ( Masters D.C., Stern D.K., Cohen J.G., Capak P.L., Rhodes J.D., Castander F.J., Paltani S.)"
VizieR,J/ApJ/602/685/table6,780,"NGC 5128 planetary nebula positions and velocities ( Peng E.W., Ford H.C., Freeman K.C.)"
VizieR,J/ApJ/652/1585/table12,777,"""Non-metal-poor"" objects ( Frebel A., Christlieb N., Norris J.E., Beers T.C., Bessell M.S., Rhee J., Fechner C., Marsteller B., Rossi S., Thom C., Wisotzki L., Reimers D.)"
VizieR,J/A+A/575/A40/catalog,774,"Spectroscopic redshifts acquired using the ESO VLT/FORS2 facility ( Comparat J., Richard J., Kneib J.-P., et al.)"
VizieR,J/A+A/632/A36/table2,765,"Full redshift catalogue ( Caminha G.B., Rosati P., Grillo C., et al.)"
